GENESIS-Tabelle: Temporär
Auszahlungen nach Auszahlungskonten und Produktgruppen;;;;;;
- Land, Gemeinden, Gemeindeverbände - Jahr;;;;;;
(Konten + Produktgruppen in der Tabellen-Vorspalte);;;;;;
Finanzrechnungsstatistik der Gemeinden/GV;;;;;;
Auszahlungen (EUR);;;;;;
;;;;;;Jahr
;;;;;;2011
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;111;Verwaltungssteuerung und Service;377989092
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;121;Statistik und Wahlen;2512316
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;122;Ordnungsangelegenheiten;46074064
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;126;Brandschutz;39264872
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;127;Rettungsdienst;13559326
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;128;Großschadensereignisse, Katastrophenschutz;979662
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;211;Grundschulen;13547149
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;212;Hauptschulen;5084695
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;215;Realschulen;2939632
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;217;Gymnasien;6351039
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;218;Gesamtschulen;1963835
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;221;Förderschulen;2706155
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;231;Berufskollegs;6056055
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;241;Schülerbeförderung;9101358
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;242;Fördermaßnahmen für Schüler;32308540
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;243;Sonstige schulische Aufgaben;1845519
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;251;Wissenschaft und Forschung;1953294
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;252;Museen, Sammlungen, Ausstellungen;22387450
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;253;Zoologische und Botanische Gärten;3471485
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;261;Theater;45970412
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;262;Musikpflege (ohne Musikschulen);16563530
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;263;Musikschulen;7058485
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;271;Volkshochschulen;6131748
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;272;Büchereien;9740252
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;273;Sonstige Volksbildung;2120527
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;281;Heimat- und sonstige Kunstpflege;10800533
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;291;Kirchengemeinden, Religionsgemeinschaften;-
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;311;Grundversorgung u. Leistungen (SGB XII);123096880
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;312;Grundsicherungsleistungen (SGB II);197543293
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;313;Leistungen für Asylbewerber (AsylbLG);3544577
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;315;Soziale Einrichtungen;11983192
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;321;Leistungen nach dem BVG;320594
05111000;Düsseldorf, krfr. Stadt;7;Auszahlungen insgesamt;322;Leistungen f. Schwerbehinderte (SGB IX);1940594
